  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4127                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.452 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -24.000  -0.3844   0.24809   0.24488  -0.0094   1.0000   0.0289
 -23.500  -0.3750   0.24104   0.23783  -0.0157   1.0000   0.0311
 -23.000  -0.3720   0.23364   0.23043  -0.0223   1.0000   0.0313
 -22.000  -0.3277   0.22226   0.21912  -0.0264   1.0000   0.0320
 -21.500  -0.3056   0.21804   0.21492  -0.0287   1.0000   0.0325
 -21.000  -0.2860   0.21356   0.21047  -0.0312   1.0000   0.0331
 -20.500  -0.2686   0.20872   0.20567  -0.0338   1.0000   0.0340
 -20.000  -0.2537   0.20349   0.20047  -0.0364   1.0000   0.0352
 -19.000  -0.2658   0.18543   0.18246  -0.0464   1.0000   0.0381
