  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8007                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.452 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -24.500  -0.4221   0.16062   0.15842   0.0095   0.9999   0.0078
 -24.000  -0.4086   0.15422   0.15201   0.0067   0.9999   0.0082
 -23.500  -0.3950   0.14785   0.14563   0.0040   0.9999   0.0087
 -23.000  -0.3813   0.14151   0.13930   0.0012   0.9999   0.0094
 -22.500  -0.3676   0.13524   0.13302  -0.0016   0.9999   0.0103
 -22.000  -0.3544   0.12956   0.12735  -0.0045   0.9999   0.0116
 -21.500  -0.3430   0.12465   0.12244  -0.0078   0.9999   0.0121
 -21.000  -0.3310   0.11904   0.11684  -0.0107   0.9999   0.0122
 -20.500  -0.3187   0.11311   0.11092  -0.0134   0.9999   0.0123
 -20.000  -0.3067   0.10702   0.10483  -0.0162   0.9999   0.0124
